Toronto Municipality,HPI - Single-Family Detached,HPI - Single-Family Attached,HPI - Townhouse,HPI - Apartment,Effective Date
Toronto W01,917400,740000,477300,350300,2015-12-01
Toronto W02,864000,730600,458800,593800,2015-12-01
Toronto W03,570600,549800,,287800,2015-12-01
Toronto W04,592000,541200,394300,225700,2015-12-01
Toronto W05,610400,494300,278000,187500,2015-12-01
Toronto W06,640200,509400,518800,311200,2015-12-01
Toronto W07,802600,715100,454000,454600,2015-12-01
Toronto W08,899100,643400,364700,291100,2015-12-01
Toronto W09,694700,467000,465000,185200,2015-12-01
Toronto W10,528500,473800,292600,217700,2015-12-01
Toronto C01,725100,781100,544800,392500,2015-12-01
Toronto C02,1474300,1133400,927300,517000,2015-12-01
Toronto C03,1237300,816700,,550300,2015-12-01
Toronto C04,1371500,954200,626900,376100,2015-12-01
Toronto C06,902700,684000,,424100,2015-12-01
Toronto C07,1059800,658100,477300,374300,2015-12-01
Toronto C08,478300,801000,526200,397000,2015-12-01
Toronto C09,1582800,1194600,856800,506900,2015-12-01
Toronto C10,1265400,1049000,554000,473400,2015-12-01
Toronto C11,1225100,916000,200600,274600,2015-12-01
Toronto C12,1829200,858000,670700,562400,2015-12-01
Toronto C13,1080700,598100,513100,302900,2015-12-01
Toronto C14,1267900,976200,768400,405100,2015-12-01
Toronto C15,1059400,674900,494200,344300,2015-12-01
Toronto E01,764700,744200,406000,473200,2015-12-01
Toronto E02,827100,717100,639200,581800,2015-12-01
Toronto E03,715200,647400,,241700,2015-12-01
Toronto E04,588800,451800,413000,283600,2015-12-01
Toronto E05,748200,562400,425900,313800,2015-12-01
Toronto E06,591000,499900,486900,417000,2015-12-01
Toronto E07,751800,563800,438300,294500,2015-12-01
Toronto E08,641800,455900,388500,239800,2015-12-01
Toronto E09,565800,451800,344600,297600,2015-12-01
Toronto E10,628100,484000,367600,218400,2015-12-01
Toronto E11,555700,434600,304000,235100,2015-12-01
City of Toronto,876300,680200,454600,346300,2016-01-01
Toronto W01,942700,742300,383000,354200,2016-01-01
Toronto W02,871100,728100,455700,590100,2016-01-01
Toronto W03,563000,540800,330100,293100,2016-01-01
Toronto W04,604400,548400,435800,222400,2016-01-01
Toronto W05,615100,499500,317600,182000,2016-01-01
Toronto W06,660500,524200,487000,330000,2016-01-01
Toronto W07,810800,743300,443300,437900,2016-01-01
Toronto W08,921200,673000,351300,285200,2016-01-01
Toronto W09,698400,505400,445400,190200,2016-01-01
Toronto W10,545900,491000,297000,225700,2016-01-01
Toronto C01,698200,752500,549000,395000,2016-01-01
Toronto C02,1547200,1140300,904300,537400,2016-01-01
Toronto C03,1265100,793700,,490400,2016-01-01
Toronto C04,1405700,965300,585400,374100,2016-01-01
Toronto C06,917200,652900,,420500,2016-01-01
Toronto C07,1095500,659200,497400,415100,2016-01-01
Toronto C08,508500,868600,550500,388000,2016-01-01
Toronto C09,1602900,1189600,822800,487000,2016-01-01
Toronto C10,1300400,971000,620300,469400,2016-01-01
Toronto C11,1237300,900100,201300,285200,2016-01-01
Toronto C12,1865700,854500,884000,549700,2016-01-01
Toronto C13,1023900,577400,538600,300600,2016-01-01
Toronto C14,1334600,991700,733900,410400,2016-01-01
Toronto C15,1106400,690300,489100,334900,2016-01-01
Toronto E01,796200,755800,418800,423600,2016-01-01
Toronto E02,887400,738500,680200,592700,2016-01-01
Toronto E03,720000,665500,,240700,2016-01-01
