Toronto Municipality,Effective Date,Attribute,Value
Toronto C01,2015-04-01,HPI - Single-Family Detached,670700
Toronto C01,2015-04-01,HPI - Single-Family Attached,698600
Toronto C01,2015-04-01,HPI - Townhouse,558500
Toronto C01,2015-04-01,HPI - Apartment,390200
Toronto C02,2015-04-01,HPI - Single-Family Detached,1456100
Toronto C02,2015-04-01,HPI - Single-Family Attached,1094500
Toronto C02,2015-04-01,HPI - Townhouse,845000
Toronto C02,2015-04-01,HPI - Apartment,539600
Toronto C03,2015-04-01,HPI - Single-Family Detached,1197500
Toronto C03,2015-04-01,HPI - Single-Family Attached,775200
Toronto C03,2015-04-01,HPI - Townhouse,
Toronto C03,2015-04-01,HPI - Apartment,524900
Toronto C04,2015-04-01,HPI - Single-Family Detached,1304400
Toronto C04,2015-04-01,HPI - Single-Family Attached,878200
Toronto C04,2015-04-01,HPI - Townhouse,600700
Toronto C04,2015-04-01,HPI - Apartment,354000
